"employee_id","first_name","last_name","age","rating","json_contact_info","bjson_contact_info","address"
101791,"Allison","Russell",47,"1.89","{""phone"": ""312-555-1267"", ""email"": ""allison.russell@company.com""}","""{\""phone\"": \""312-555-1267\"", \""email\"": \""allison.russell@company.com\""}""","01010000003EAD2FAE3BF955C066833A7F89024540"
110250,"Matthew","Rogers",31,"4.28","{""phone"": ""312-555-6820"", ""email"": ""matthew.rogers@company.com""}","""{\""phone\"": \""312-555-6820\"", \""email\"": \""matthew.rogers@company.com\""}""","010100000005220BCA3CE255C03B62F55932014540"
120041,"Steven","Perkins",64,"4.05","{""phone"": ""312-555-1831"", ""email"": ""steven.perkins@company.com""}","""{\""phone\"": \""312-555-1831\"", \""email\"": \""steven.perkins@company.com\""}""","0101000000B9DE370609FB55C08BEEC3B23BFD4440"
122050,"Cody","Sullivan",22,"2.79","{""phone"": ""312-555-4290"", ""email"": ""cody.sullivan@company.com""}","""{\""phone\"": \""312-555-4290\"", \""email\"": \""cody.sullivan@company.com\""}""","01010000003E46AD1DD1E155C0DB821A1E90DB4440"
132058,"Jennifer","Scott",26,"1.92","{""phone"": ""312-555-1891"", ""email"": ""jennifer.scott@company.com""}","""{\""phone\"": \""312-555-1891\"", \""email\"": \""jennifer.scott@company.com\""}""","01010000008EEED9AAB7F855C0CB3F813CCAE54440"
143302,"Dylan","Knapp",25,"2.29","{""phone"": ""312-555-5571"", ""email"": ""dylan.knapp@company.com""}","""{\""phone\"": \""312-555-5571\"", \""email\"": \""dylan.knapp@company.com\""}""","010100000081E3FEEA01FB55C0250B5B3533E44440"
155933,"Peter","Thompson",24,"4.09","{""phone"": ""312-555-9619"", ""email"": ""peter.thompson@company.com""}","""{\""phone\"": \""312-555-9619\"", \""email\"": \""peter.thompson@company.com\""}""","0101000000C6D92F09D6E955C0A54857CE8EEF4440"
156110,"Whitney","Sutton",39,"3.69","{""phone"": ""312-555-9965"", ""email"": ""whitney.sutton@company.com""}","""{\""phone\"": \""312-555-9965\"", \""email\"": \""whitney.sutton@company.com\""}""","01010000008A73A93A67F655C0F26F301E4FD54440"
159312,"Ryan","Fox",22,"4.29","{""phone"": ""312-555-4325"", ""email"": ""ryan.fox@company.com""}","""{\""phone\"": \""312-555-4325\"", \""email\"": \""ryan.fox@company.com\""}""","0101000000FCB576CE30E855C009B88C9D9BD94440"
180814,"Matthew","Levy",52,"3.03","{""phone"": ""312-555-3738"", ""email"": ""matthew.levy@company.com""}","""{\""phone\"": \""312-555-3738\"", \""email\"": \""matthew.levy@company.com\""}""","01010000004F2E7A43B4F955C047003E74A2FC4440"
182754,"Kenneth","Lynch",22,"3.56","{""phone"": ""312-555-9626"", ""email"": ""kenneth.lynch@company.com""}","""{\""phone\"": \""312-555-9626\"", \""email\"": \""kenneth.lynch@company.com\""}""","0101000000D29EBEA9FEEC55C08D558E3960E44440"
186620,"Michelle","Dunn",21,"2.48","{""phone"": ""312-555-2668"", ""email"": ""michelle.dunn@company.com""}","""{\""phone\"": \""312-555-2668\"", \""email\"": \""michelle.dunn@company.com\""}""","0101000000E817DBE015F855C00BCE1D6FF9DA4440"
190774,"Megan","Harrison",33,"3.51","{""phone"": ""312-555-9741"", ""email"": ""megan.harrison@company.com""}","""{\""phone\"": \""312-555-9741\"", \""email\"": \""megan.harrison@company.com\""}""","0101000000901C0FCBCDE955C0E1F218C4FAE64440"
193614,"Melissa","Smith",38,"3.73","{""phone"": ""312-555-5499"", ""email"": ""melissa.smith@company.com""}","""{\""phone\"": \""312-555-5499\"", \""email\"": \""melissa.smith@company.com\""}""","0101000000EE36D0F3A0EB55C0523B67FFD6E54440"
207262,"Jacob","Peters",32,"3.61","{""phone"": ""312-555-4582"", ""email"": ""jacob.peters@company.com""}","""{\""phone\"": \""312-555-4582\"", \""email\"": \""jacob.peters@company.com\""}""","0101000000F25A296BD1F255C05DC4292A11DE4440"
214976,"Amber","Brown",38,"3.06","{""phone"": ""312-555-2643"", ""email"": ""amber.brown@company.com""}","""{\""phone\"": \""312-555-2643\"", \""email\"": \""amber.brown@company.com\""}""","01010000003FA5A55C52E555C06905B7F008F34440"
230056,"Christopher","Phillips",34,"4.04","{""phone"": ""312-555-4901"", ""email"": ""christopher.phillips@company.com""}","""{\""phone\"": \""312-555-4901\"", \""email\"": \""christopher.phillips@company.com\""}""","0101000000218F03648CF655C0A99ED5E4B6D34440"
